date,ALPHA,BETA,GAMMA,DELTA
2020-05-19,70.279,62.9374,34.7398,112.9019
2020-05-20,69.979,63.9642,35.3011,115.0106
2020-05-21,70.0439,62.9379,35.9495,113.131
2020-05-22,70.1134,62.3393,36.6084,110.633
2020-05-25,71.467,66.343,36.1061,113.2049
2020-05-26,70.5741,64.4384,36.0829,111.1292
2020-05-27,70.2911,65.3132,36.7732,113.5606
2020-05-28,69.7227,65.2196,36.3561,114.1253
2020-05-29,69.6859,64.2826,35.8834,116.1658
2020-06-01,69.5254,64.4974,36.4369,120.3021
2020-06-02,68.9975,65.4866,37.4911,121.9827
2020-06-03,69.4374,65.6441,36.7363,123.9031
2020-06-04,69.4186,66.3007,35.0723,121.6616
2020-06-05,70.154,64.2129,34.1822,119.9937
2020-06-08,70.9833,62.1016,33.5783,121.5613
2020-06-09,71.2114,63.4967,33.5086,125.3618
2020-06-10,70.2999,61.1249,33.8957,128.914
2020-06-11,71.913,62.7015,33.8199,135.0411
2020-06-12,71.2994,61.1777,33.4096,135.8969
2020-06-15,71.7065,62.0173,33.5154,136.4628
2020-06-16,71.8575,62.6206,32.9533,139.2508
2020-06-17,71.9367,63.1586,32.9387,139.3174
2020-06-18,72.3143,60.6733,32.5735,139.1574
2020-06-19,71.9492,60.5334,34.1972,136.2863
2020-06-22,71.7658,59.1249,34.7176,139.029
2020-06-23,70.0095,58.2751,34.2134,136.0935
2020-06-24,70.4917,59.3073,33.6183,137.5088
2020-06-25,68.0619,61.0414,33.3676,133.674
2020-06-26,69.6946,58.457,32.4071,136.6511
2020-06-29,67.9954,59.3122,31.9966,133.8815
2020-06-30,68.2433,58.1895,31.5868,136.1728
2020-07-01,68.085,58.8945,32.1062,131.9255
2020-07-02,69.2336,58.4046,31.8734,130.7833
2020-07-03,68.2792,59.4709,31.4356,133.9154
2020-07-06,66.8106,59.4549,30.6985,131.7889
2020-07-07,66.5614,62.1315,30.0672,131.9793
2020-07-08,67.5455,61.5894,30.0433,130.7356
2020-07-09,67.3592,61.6179,29.9392,124.8469
2020-07-10,66.8823,60.6897,30.5689,125.631
2020-07-13,66.2885,62.4252,30.2368,126.7345
2020-07-14,65.399,61.271,30.8311,123.9699
2020-07-15,65.6598,63.3484,30.9865,125.413
2020-07-16,65.7105,61.8967,30.9964,123.4454
2020-07-17,66.7025,62.7714,29.9078,121.0049
2020-07-20,64.875,59.8836,29.233,121.0336
2020-07-21,64.4526,61.0757,29.6376,119.4072
2020-07-22,63.4296,61.5653,30.405,125.0218
2020-07-23,64.623,60.9269,30.5304,121.2058
2020-07-24,63.9651,60.8906,30.9647,123.0214
2020-07-27,64.5856,61.9973,30.7506,125.4913
2020-07-28,64.0266,61.4479,30.5579,120.6328
2020-07-29,64.1641,61.976,30.2075,116.5362
2020-07-30,64.1128,63.8629,30.7545,117.8661
2020-07-31,63.736,62.3272,30.9572,116.7482
2020-08-03,64.0616,60.0404,30.8393,117.659
2020-08-04,63.7278,60.1269,30.6698,120.3831
2020-08-05,62.6364,61.1068,30.991,119.5024
2020-08-06,62.2854,61.1755,31.1842,116.998
2020-08-07,62.0629,58.8547,30.733,110.7935
2020-08-10,63.0835,59.9927,31.7097,111.2589
2020-08-11,63.36,60.4925,31.8695,109.2226
2020-08-12,63.4862,59.2567,31.8883,109.9203
2020-08-13,62.9832,58.9328,32.7607,110.4417
2020-08-14,63.4099,59.4869,33.3835,107.4364
2020-08-17,63.5239,57.5023,33.344,111.2162
2020-08-18,64.2709,57.4942,33.6808,113.6634
2020-08-19,63.3152,56.257,33.0515,115.6198
2020-08-20,61.4478,58.4147,32.6855,112.9243
2020-08-21,61.5341,57.9475,31.3949,112.019
2020-08-24,61.2699,59.131,32.105,110.8115
2020-08-25,60.4327,61.1648,31.0389,109.9071
2020-08-26,60.1416,59.9714,31.4344,107.4744
2020-08-27,59.7857,58.7086,30.9803,108.4236
2020-08-28,58.9353,60.6586,30.4513,108.9327
2020-08-31,59.6125,60.2258,30.3568,109.7426
2020-09-01,58.7208,58.1004,30.5149,108.6486
2020-09-02,58.1509,57.1335,30.8653,111.5016
2020-09-03,59.4756,58.2272,31.8782,111.9323
2020-09-04,59.7862,56.2018,32.0975,105.9787
2020-09-07,59.8464,59.1435,32.6237,104.641
2020-09-08,59.9481,55.7165,32.2871,104.5322
2020-09-09,59.2848,56.8998,32.7176,106.5806
2020-09-10,60.1346,56.4539,32.8211,105.9521
2020-09-11,60.9351,56.5515,32.5616,105.4341
2020-09-14,60.0888,57.2518,32.5184,104.056
2020-09-15,60.0514,57.2398,32.4951,105.4609
2020-09-16,60.539,56.4986,32.6202,104.5315
2020-09-17,61.5587,58.1283,32.8698,103.2879
2020-09-18,63.1,54.9323,32.5831,101.7762
2020-09-21,64.1059,56.4109,32.1644,102.9258
2020-09-22,63.2455,55.8801,32.6132,101.8447
2020-09-23,62.205,55.97,31.6449,98.4975
2020-09-24,61.9048,57.2722,31.3073,99.7417
2020-09-25,62.6306,56.7875,32.2074,98.3623
2020-09-28,62.5974,56.9236,30.6879,99.077
2020-09-29,64.6016,57.2676,30.3196,99.8304
2020-09-30,64.9933,57.4433,30.7095,102.273
2020-10-01,64.0266,58.1593,29.8226,104.4424
2020-10-02,64.1465,61.5387,31.2629,103.2585
2020-10-05,63.9206,61.483,29.8517,102.9257
2020-10-06,64.0851,59.6255,30.6459,100.3134
2020-10-07,62.8055,60.876,31.5297,103.7461
2020-10-08,63.216,63.608,32.0669,104.6769
2020-10-09,63.8532,62.0594,31.9521,107.648
2020-10-12,64.3929,62.122,32.171,106.9741
2020-10-13,65.128,63.3069,31.6683,102.6889
2020-10-14,66.7515,63.4529,32.1459,105.894
2020-10-15,65.7197,63.2823,31.517,106.102
2020-10-16,64.4015,62.1072,31.3745,106.3956
2020-10-19,64.168,64.4943,31.955,106.5244
2020-10-20,63.2056,63.0415,31.333,107.9175
2020-10-21,63.8132,62.524,31.1407,109.0853
2020-10-22,63.4864,63.0582,31.2454,105.6804
2020-10-23,62.6315,62.9919,30.512,108.0136
2020-10-26,61.9699,60.4078,31.1707,106.8876
2020-10-27,62.0577,61.303,31.375,105.9044
2020-10-28,62.3992,62.2363,30.5429,109.6382
2020-10-29,61.7026,61.928,30.5293,111.6866
2020-10-30,62.7207,61.3024,30.1182,110.9448
2020-11-02,62.975,60.0446,29.7757,106.9119
2020-11-03,62.221,58.758,29.8288,107.2688
2020-11-04,61.0798,59.335,29.462,108.4415
2020-11-05,59.9798,59.036,29.9899,108.2778
2020-11-06,59.7301,58.448,29.6238,105.6234
2020-11-09,61.1596,56.3051,30.164,103.9766
2020-11-10,61.312,58.2335,30.1523,101.409
2020-11-11,62.3229,56.7882,30.6326,101.8569
2020-11-12,61.2763,55.9193,30.3477,103.5503
2020-11-13,60.7336,55.9004,30.085,105.7064
2020-11-16,60.1163,55.2243,29.4791,104.1801
2020-11-17,59.8239,55.273,29.7993,104.6814
2020-11-18,59.0112,55.3852,30.3187,105.8585
2020-11-19,59.1445,56.0691,31.5102,104.7923
2020-11-20,60.1369,54.1112,32.2636,104.4919
2020-11-23,59.5972,53.661,32.422,109.037
2020-11-24,60.0042,56.6853,32.312,109.4962
2020-11-25,59.4435,54.6618,32.5519,111.4581
2020-11-26,59.6297,57.0961,32.5487,110.504
2020-11-27,58.2645,59.0862,33.4308,110.6074
2020-11-30,58.9014,58.2143,34.0173,106.89
2020-12-01,58.2679,55.5504,33.5222,106.8472
2020-12-02,57.8355,55.9301,33.1231,109.4365
2020-12-03,59.6251,57.4693,33.962,114.1397
2020-12-04,59.6755,56.1267,34.1645,116.916
2020-12-07,59.2909,56.2674,34.0359,118.545
2020-12-08,59.2244,56.939,34.7844,118.6825
2020-12-09,59.3376,59.3122,34.5564,117.2786
2020-12-10,58.9648,58.5976,34.3966,116.915
2020-12-11,58.0161,56.0954,34.1259,118.3687
2020-12-14,57.3877,56.0961,32.9551,116.5361
2020-12-15,56.1222,55.3626,33.4852,118.7433
2020-12-16,55.347,51.8407,32.7774,116.4406
2020-12-17,55.559,50.8649,32.4566,112.3812
2020-12-18,56.7487,52.1021,32.0377,110.1402
2020-12-21,57.0333,51.1841,32.4727,106.5428
2020-12-22,56.5801,51.1303,32.4456,103.6687
2020-12-23,56.7891,50.2533,32.4676,106.0534
2020-12-24,57.2887,52.6989,31.5134,105.6403
2020-12-25,58.3185,49.6728,31.4764,106.1137
2020-12-28,57.6029,50.7964,30.6632,108.6111
2020-12-29,57.2914,50.9634,30.8456,111.392
2020-12-30,56.4262,52.1296,31.0623,110.2845
2020-12-31,56.6505,53.2356,31.065,113.2655
2021-01-01,57.2383,52.1292,32.2416,114.1516
2021-01-04,58.1512,51.4285,32.5624,114.1706
2021-01-05,57.0699,50.6405,32.9266,115.1961
2021-01-06,57.3031,51.5154,33.0243,111.9691
2021-01-07,56.6545,52.5175,32.9231,110.2335
2021-01-08,56.8262,53.0721,33.5139,110.0064
2021-01-11,55.4546,52.0951,34.1986,111.3671
2021-01-12,55.4676,52.4821,33.4204,110.5526
2021-01-13,54.5697,53.5282,34.0744,110.2825
2021-01-14,54.0305,53.0793,34.4048,112.4528
2021-01-15,55.0891,53.0492,35.0189,115.6847
2021-01-18,55.6379,54.3399,35.3281,117.485
2021-01-19,54.9507,53.1934,34.5595,120.5156
2021-01-20,54.7791,54.6519,33.851,119.5568
2021-01-21,56.2255,56.1787,34.9952,118.8382
2021-01-22,54.1595,52.1965,35.1687,119.6093
2021-01-25,55.2998,53.0233,34.2966,118.9031
2021-01-26,55.6766,53.1367,34.526,117.715
2021-01-27,55.572,52.8507,34.3154,121.6818
2021-01-28,54.4119,52.4101,33.2087,121.2053
2021-01-29,54.9368,52.3529,31.8803,118.8979
2021-02-01,55.8425,51.5568,30.9861,120.0746
2021-02-02,55.9662,52.5504,31.1506,124.5776
2021-02-03,56.0088,51.4573,31.1361,124.7916
2021-02-04,56.6257,52.3576,31.0092,127.9159
2021-02-05,57.6746,52.4951,31.1809,126.8133
2021-02-08,58.4737,51.6469,31.5328,125.5858
2021-02-09,57.8022,52.3983,30.3738,123.8775
2021-02-10,56.9885,51.6301,30.2217,123.535
2021-02-11,57.0814,53.2818,29.7866,128.1693
2021-02-12,58.8115,51.8448,29.1444,125.2538
2021-02-15,58.8002,53.8845,28.8702,129.436
2021-02-16,57.8362,55.5193,28.818,126.8643
2021-02-17,57.8577,55.608,28.6916,126.285
2021-02-18,57.937,56.0014,27.9613,128.4266
2021-02-19,58.9375,53.7428,27.7303,130.0687
2021-02-22,58.5694,53.8208,28.7664,130.8175
2021-02-23,58.5637,54.7167,28.2368,126.5852
2021-02-24,59.7796,53.5398,27.4032,127.5184
2021-02-25,61.0117,54.4853,27.5503,124.95
2021-02-26,60.8146,53.9939,27.8589,131.5506
2021-03-01,60.9791,53.4639,28.1038,131.0033
2021-03-02,60.7555,51.9526,27.5541,131.5119
2021-03-03,61.3934,53.7392,28.0648,128.543
2021-03-04,61.6181,54.81,27.682,127.3304
2021-03-05,61.5511,55.7056,27.1331,124.0972
2021-03-08,60.67,56.1238,26.8483,126.57
2021-03-09,60.666,54.1549,26.8065,125.9212
2021-03-10,59.6888,54.748,27.1641,127.3589
2021-03-11,60.879,54.2338,27.4819,125.6396
2021-03-12,61.1276,54.6956,27.4817,124.3991
2021-03-15,60.8069,54.199,27.9583,127.6584
2021-03-16,60.1058,55.2234,28.0105,125.214
2021-03-17,59.9747,56.4191,28.4773,120.7951
2021-03-18,59.259,53.9124,27.7779,121.7927
2021-03-19,59.4937,52.3696,27.0126,119.056
2021-03-22,59.0646,52.39,27.4034,118.0259
2021-03-23,60.0803,52.0573,26.7369,120.2095
2021-03-24,59.1575,52.2149,26.6028,118.2693
2021-03-25,59.542,54.519,26.5665,120.3776
2021-03-26,59.4271,55.264,26.3448,118.7605
2021-03-29,59.6753,53.3707,26.141,122.3667
2021-03-30,59.3588,54.8026,26.8153,125.6656
2021-03-31,59.1777,55.6607,25.632,124.4988
2021-04-01,59.8347,53.8582,26.0535,123.9814
2021-04-02,59.5724,52.8573,27.1632,121.9478
2021-04-05,58.1016,54.7055,27.1856,122.4488
2021-04-06,59.3472,56.3194,27.1872,125.3082
2021-04-07,58.3825,57.142,27.556,121.7465
2021-04-08,58.9842,56.9429,28.4896,124.0135
2021-04-09,59.8728,55.2421,27.898,120.7849
2021-04-12,59.6818,55.7117,27.9533,118.7377
2021-04-13,58.9432,55.1915,27.8709,114.5788
2021-04-14,58.1088,54.179,28.1642,119.5174
2021-04-15,59.0367,52.9935,28.2563,119.6698
2021-04-16,58.8407,53.4037,28.6053,120.269
2021-04-19,60.1776,53.8546,28.4003,118.6655
2021-04-20,60.3866,54.6618,28.4368,121.2371
2021-04-21,61.4288,55.2435,28.1069,116.2548
2021-04-22,61.0693,55.0365,27.784,116.3285
2021-04-23,62.3664,55.6047,27.7244,121.5897
2021-04-26,62.877,57.0555,27.6647,120.6762
2021-04-27,62.8137,55.86,27.0978,120.7297
2021-04-28,61.2422,55.2974,27.8856,122.3761
2021-04-29,60.7494,56.3263,27.8291,120.4181
2021-04-30,61.321,57.5632,27.1553,120.4852
2021-05-03,61.8566,57.5612,27.7102,122.8356
2021-05-04,61.9576,54.2097,27.3504,123.3264
2021-05-05,60.5786,55.8634,27.6129,124.2573
2021-05-06,60.5512,55.5815,27.6154,123.4043
2021-05-07,61.0733,55.0742,27.7514,124.1981
2021-05-10,61.2362,55.755,27.8481,124.3491
2021-05-11,61.5797,56.5795,27.5723,128.0338
2021-05-12,62.6089,54.7501,27.6037,129.9152
2021-05-13,62.5682,53.9784,28.644,129.2965
2021-05-14,62.9084,56.3349,27.5242,123.1339
2021-05-17,63.1947,54.3051,27.568,124.9216
2021-05-18,64.0619,53.0201,27.7958,126.8356
2021-05-19,62.9069,55.5468,27.2852,124.5433
2021-05-20,64.7488,56.3118,26.631,119.6758
2021-05-21,64.7489,55.9893,27.6974,116.9855
2021-05-24,64.422,57.5816,27.5238,119.1847
2021-05-25,62.5912,56.1161,28.5847,116.6851
2021-05-26,61.5969,56.9116,28.8733,115.6291
2021-05-27,60.1945,56.9358,28.9244,116.1516
2021-05-28,58.9807,56.9578,29.185,119.0428
2021-05-31,59.8412,56.0018,29.5323,119.0115
2021-06-01,59.4284,57.9054,30.1781,118.7847
2021-06-02,60.2905,56.7351,30.428,117.4996
2021-06-03,59.4564,58.144,30.5195,121.407
2021-06-04,59.1052,55.063,30.6287,124.0354
2021-06-07,58.3202,56.7652,31.3958,123.8121
2021-06-08,58.2947,56.2478,31.8736,120.4137
2021-06-09,59.054,57.9492,31.3164,118.5373
2021-06-10,59.0022,58.9925,30.9725,119.9311
2021-06-11,58.7004,58.5848,31.17,118.2248
2021-06-14,58.0555,58.2231,30.8347,120.3655
2021-06-15,57.3524,57.9517,30.6387,121.2509
2021-06-16,57.2911,57.0421,30.1281,121.9749
2021-06-17,56.3218,56.7247,29.9986,123.5918
2021-06-18,56.6893,57.4645,30.2403,124.8429
2021-06-21,57.2764,55.8872,30.7992,122.738
2021-06-22,58.3712,56.8704,30.8166,121.953
2021-06-23,58.8723,56.7618,32.0021,127.8084
2021-06-24,58.6354,58.6721,31.9709,124.7704
2021-06-25,57.6857,59.3831,33.876,123.6041
2021-06-28,57.2153,59.1596,34.5061,126.2795
2021-06-29,57.8087,57.1166,34.83,125.8905
2021-06-30,57.3525,57.372,34.5323,123.8747
2021-07-01,57.4163,56.7728,32.8337,120.6516
2021-07-02,56.5269,58.7973,32.7552,121.9642
2021-07-05,55.9776,55.6845,32.8736,124.49
2021-07-06,57.4083,57.1191,34.0447,128.0375
2021-07-07,57.0285,56.7046,33.2229,128.1881
2021-07-08,57.0993,57.8685,34.3961,130.9085
2021-07-09,57.3615,58.1142,34.2546,128.2447
2021-07-12,57.037,55.6683,34.7179,128.6892
2021-07-13,56.1369,55.5431,33.1797,126.9702
2021-07-14,55.7615,56.2929,33.2761,127.4252
2021-07-15,55.4077,57.0948,33.0841,129.3657
2021-07-16,54.669,56.7526,33.5064,132.1765
2021-07-19,55.7756,57.3369,33.5749,129.5983
2021-07-20,57.5815,57.4999,32.9048,132.9389
2021-07-21,56.44,54.4284,33.4839,131.6968
2021-07-22,56.5942,55.0144,33.9187,129.0355
2021-07-23,57.2897,54.3378,34.2988,128.6088
2021-07-26,57.009,55.9543,34.9413,124.9138
2021-07-27,55.9034,55.4942,35.6549,124.9378
2021-07-28,56.6566,55.5245,35.6552,125.6763
2021-07-29,56.7349,56.7968,34.8083,125.1862
2021-07-30,58.766,54.6057,33.9649,126.5485
2021-08-02,57.4988,57.5069,34.8141,125.7671
2021-08-03,57.682,55.6303,35.2763,125.7899
2021-08-04,57.3319,55.8163,35.3553,122.2294
2021-08-05,58.5563,57.0974,35.0938,122.346
2021-08-06,58.6491,54.5548,35.1278,120.2933
2021-08-09,60.2046,56.5176,35.1575,119.2279
2021-08-10,59.9551,56.8993,34.959,119.0167
2021-08-11,60.3408,57.9437,34.5357,119.4841
2021-08-12,59.7659,55.6104,35.9221,115.6247
2021-08-13,58.3359,56.3304,36.0846,112.0764
2021-08-16,59.8638,54.7822,35.7075,111.4127
2021-08-17,60.4749,55.446,34.8943,112.4861
2021-08-18,61.62,56.0168,34.4553,113.3108
2021-08-19,62.3084,54.4057,34.9185,115.3637
2021-08-20,60.6317,54.4094,35.4126,118.4169
2021-08-23,60.1655,53.1542,35.2878,119.6104
2021-08-24,59.3336,55.3807,35.3348,119.5749
2021-08-25,58.9295,57.2062,35.1554,117.1451
2021-08-26,59.1782,54.8249,34.4751,114.9609
2021-08-27,58.182,55.2378,35.3065,113.9032
2021-08-30,57.9287,54.5605,35.5583,114.5256
2021-08-31,56.2691,53.6225,37.194,115.0438
2021-09-01,55.551,54.8341,36.7059,115.0651
2021-09-02,55.6648,52.6491,36.6298,114.7257
2021-09-03,55.849,54.207,37.2315,116.1931
2021-09-06,54.7155,54.032,37.0824,116.6899
2021-09-07,55.8802,53.62,36.1821,117.3989
2021-09-08,54.8952,53.4159,35.5836,118.1371
2021-09-09,53.8857,53.2791,35.6625,116.8651
2021-09-10,54.0401,53.0879,35.8979,114.4918
2021-09-13,54.5558,51.795,35.8512,115.6335
2021-09-14,56.6373,52.7001,36.5192,116.613
2021-09-15,56.3756,51.5786,37.1926,116.1125
2021-09-16,56.1735,51.6538,37.4243,115.1626
2021-09-17,55.8238,51.7603,37.4574,120.5438
2021-09-20,56.0252,51.5246,37.3022,118.7392
2021-09-21,55.8342,51.1905,37.6891,118.2355
2021-09-22,56.5833,50.9001,38.3335,118.8769
2021-09-23,57.6904,50.4568,38.3906,116.1757
2021-09-24,57.6037,51.894,38.7184,116.4601
2021-09-27,57.2543,51.3302,38.5084,120.7357
2021-09-28,57.5077,52.3134,37.5573,123.0242
2021-09-29,58.2897,49.1576,36.9015,124.6021
2021-09-30,58.0428,50.8385,37.4286,126.0998
2021-10-01,58.0625,51.2255,37.7461,126.3951
2021-10-04,57.6498,50.6466,38.8576,128.8541
2021-10-05,56.098,50.1336,38.9125,128.4659
2021-10-06,56.4295,52.0765,39.5387,127.3969
2021-10-07,55.6167,50.1321,40.5078,127.6699
2021-10-08,54.0219,49.0976,41.2559,130.0166
2021-10-11,53.1241,49.6247,40.8228,130.8918
2021-10-12,53.2672,51.8127,40.7037,132.6828
2021-10-13,53.309,50.3639,40.8152,127.4315
2021-10-14,53.7876,47.8217,40.1133,130.5218
2021-10-15,53.6707,47.5601,40.4735,136.7907
2021-10-18,53.61,47.7338,41.2429,140.506
2021-10-19,53.4123,48.2625,40.9038,139.6303
2021-10-20,52.8497,47.1242,42.3992,137.2946
2021-10-21,52.5363,47.6542,42.1947,138.0724
2021-10-22,52.1968,48.4039,42.0577,135.3872
2021-10-25,51.2675,46.79,41.8945,137.3802
2021-10-26,51.5521,48.0158,41.3803,135.9578
2021-10-27,50.9007,48.2133,41.7094,138.6091
2021-10-28,49.7821,47.3425,41.7411,142.4513
2021-10-29,49.1258,45.2346,43.0254,136.7911
2021-11-01,49.9619,47.4742,43.5157,137.6082
2021-11-02,50.3601,47.6485,43.9565,135.7134
2021-11-03,50.4885,48.3798,43.7991,131.9535
2021-11-04,50.3315,45.8306,42.7153,130.3473
2021-11-05,50.4967,49.2887,42.6636,129.7908
2021-11-08,50.451,46.6974,42.0324,132.5152
2021-11-09,51.106,49.3799,42.7759,128.5566
2021-11-10,50.4246,49.2175,42.7695,131.3001
2021-11-11,50.0756,47.9569,44.089,136.7216
2021-11-12,49.9166,46.64,44.6943,138.3789
2021-11-15,49.8861,44.6779,45.3897,139.9121
2021-11-16,49.3756,46.9344,45.5968,139.8886
2021-11-17,49.6111,46.5302,45.7867,136.6531
2021-11-18,48.9714,44.9964,46.3468,138.1365
2021-11-19,48.4273,47.9987,47.1418,139.2154
2021-11-22,48.0802,46.4906,46.5613,141.2815
2021-11-23,48.5622,48.1099,46.9945,148.7447
2021-11-24,47.6498,44.5784,49.2845,150.9407
2021-11-25,48.0224,46.3672,49.2247,152.2465
2021-11-26,46.9903,46.3907,49.0184,157.0933
2021-11-29,48.1842,46.3125,48.4306,152.9384
2021-11-30,48.1557,44.3945,47.203,149.4977
2021-12-01,47.7238,43.73,48.2433,148.3949
2021-12-02,47.4006,43.4686,48.3156,146.4785
2021-12-03,46.5711,42.047,48.5963,148.5404
2021-12-06,47.7524,42.583,50.2572,147.6151
2021-12-07,48.0024,44.2328,52.6002,152.8577
2021-12-08,47.4045,43.6683,51.7863,157.593
2021-12-09,46.8267,43.9782,52.7999,160.055
2021-12-10,45.6211,43.4621,53.4175,158.84
2021-12-13,45.5752,44.5497,53.8246,160.8282
2021-12-14,45.6773,44.0431,54.3133,163.4746
2021-12-15,45.6839,43.1137,54.314,160.0404
2021-12-16,45.4162,44.0887,55.9146,161.1768
2021-12-17,43.3538,43.5739,56.5613,163.4855
2021-12-20,43.5312,43.6852,56.9385,164.2112
2021-12-21,42.8534,45.0741,58.2568,169.47
2021-12-22,43.7206,43.9721,59.231,173.653
2021-12-23,45.2338,44.9052,59.7503,170.8263
2021-12-24,45.4284,43.9642,60.1299,171.2693
2021-12-27,45.0215,44.6491,62.0884,168.4479
2021-12-28,45.0312,45.6342,62.6887,170.4288
2021-12-29,44.8158,43.738,62.6156,167.5153
2021-12-30,44.3544,44.1816,61.6847,170.6545
2021-12-31,44.1952,43.5449,61.3315,172.0016
2022-01-03,43.4698,43.1652,60.2107,175.3915
2022-01-04,44.4084,42.8513,60.3547,174.9008
